att;def;win
7,0;3,0;0,8569197868042304
7,0;4,0;0,7448748672953004
7,0;5,0;0,6377204983583462
7,0;6,0;0,520682551435368
7,0;7,0;0,4233301992790926
7,0;8,0;0,3294824822237348
7,0;9,0;0,25777451056184664
7,0;10,0;0,1934337686549123
7,0;11,0;0,14697682252101288
7,0;12,0;0,10720725853478967
7,0;13,0;0,07962563768066484
7,0;14,0;0,05678838818275139
7,0;15,0;0,041419415018673286
7,0;16,0;0,02900724625328222
7,0;17,0;0,020846586473677348
7,0;18,0;0,014382261299253577
7,0;19,0;0,010210383603885428
7,0;20,0;0,00695645209732363
7,0;21,0;0,004888043598677283
7,0;22,0;0,003295051078754487
7,0;23,0;0,002295111023081118
7,0;24,0;0,001533089698859219
7,0;25,0;0,001059815366891981
7,0;26,0;0,000702357010985773
7,0;27,0;0,00048235566420684915
7,0;28,0;0,00031745972243507934
7,0;29,0;0,00021676719551879094
7,0;30,0;0,00014179568081899727
8,0;1,0;0,9988788276602831
8,0;2,0;0,9666494896244414
8,0;3,0;0,909941967053407
8,0;4,0;0,8337390470300251
8,0;5,0;0,7363955760373413
8,0;6,0;0,6400731223653024
8,0;7,0;0,5355338958094111
8,0;8,0;0,44558061602834176
8,0;9,0;0,35693364015590834
8,0;10,0;0,28676100631511925
8,0;11,0;0,22186695523099761
8,0;12,0;0,17331345240229043
8,0;13,0;0,13038842587038763
8,0;14,0;0,09956131068383223
8,0;15,0;0,07320654913341508
8,0;16,0;0,054861689281925786
8,0;17,0;0,03958008010286831
8,0;18,0;0,029202059767195164
8,0;19,0;0,020733968110775734
8,0;20,0;0,01509693629679242
8,0;21,0;0,010574296694409582
8,0;22,0;0,007613060037723039
8,0;23,0;0,005270343506834177
8,0;24,0;0,0037576386789541015
8,0;25,0;0,0025750002375795828
8,0;26,0;0,0018203863283873752
8,0;27,0;0,0012363838015293257
8,0;28,0;0,0008675516844201362
8,0;29,0;0,0005846067128496056
8,0;30,0;0,0004075041435695302
9,0;1,0;0,9996184899677352
9,0;2,0;0,9803081980843822
9,0;3,0;0,9467993529315581
9,0;4,0;0,887800860537181
9,0;5,0;0,8184100971621446
9,0;6,0;0,7295558308257991
9,0;7,0;0,6429413974606917
9,0;8,0;0,5473595679145998
9,0;9,0;0,463985164434105
9,0;10,0;0,37987200481098193
9,0;11,0;0,311731273654661
9,0;12,0;0,24704491090258732
9,0;13,0;0,19734736764504412
9,0;14,0;0,15221161980090264
9,0;15,0;0,11889372991990035
9,0;16,0;0,08963803578165798
9,0;17,0;0,0687079133759306
9,0;18,0;0,05081239159122719
9,0;19,0;0,03832832695568742
9,0;20,0;0,027881961285660145
9,0;21,0;0,020744247011297904
9,0;22,0;0,014877134515024136
9,0;23,0;0,010937493724106913
9,0;24,0;0,007747372004844203
9,0;25,0;0,005636783875141126
9,0;26,0;0,003949471825400292
9,0;27,0;0,0028473113732829054
9,0;28,0;0,001975873527487104
9,0;29,0;0,0014129440183402548
9,0;30,0;0,000972128060127478
10,0;1,0;0,999870180614021
10,0;2,0;0,9901146432872121
10,0;3,0;0,9669917055323229
10,0;4,0;0,9298200567898209
10,0;5,0;0,8729364726512274
10,0;6,0;0,8076408283428504
10,0;7,0;0,7260797702179294
10,0;8,0;0,646411764936366
10,0;9,0;0,5580697529719043
10,0;10,0;0,4799352564776803
10,0;11,0;0,3998732913838474
10,0;12,0;0,33374888772479766
10,0;13,0;0,26971473036536864
10,0;14,0;0,21943290178132638
10,0;15,0;0,17276813391648552
10,0;16,0;0,13752610057680997
10,0;17,0;0,10588856747409692
10,0;18,0;0,08272652757997745
10,0;19,0;0,06248185338179644
10,0;20,0;0,04803246610887828
10,0;21,0;0,03567758258359467
10,0;22,0;0,027044337395444568
10,0;23,0;0,019797124918128135
10,0;24,0;0,014823117178639215
10,0;25,0;0,010712474904646614
10,0;26,0;0,007934391749143788
10,0;27,0;0,0056692253805334485
10,0;28,0;0,004158745143097096
10,0;29,0;0,0029414927214176114
10,0;30,0;0,0021392801211493947
11,0;1,0;0,9999558253478266
11,0;2,0;0,9941952407696988
11,0;3,0;0,9810995623453478
11,0;4,0;0,953933455078628
11,0;5,0;0,9162835486754316
11,0;6,0;0,8610910918722071
11,0;7,0;0,7998329909591375
11,0;8,0;0,7239699784664875
11,0;9,0;0,650059762243872
11,0;10,0;0,5675928721351304
11,0;11,0;0,4939522010175369
11,0;12,0;0,4174948220906814
11,0;13,0;0,3533829048588739
11,0;14,0;0,29026062652689044
11,0;15,0;0,23980184377069985
11,0;16,0;0,19211385541691473
11,0;17,0;0,1554036111154341
11,0;18,0;0,12182128121139307
11,0;19,0;0,0967479865559561
11,0;20,0;0,07441294802027693
11,0;21,0;0,058154271104384904
11,0;22,0;0,043988306189049114
11,0;23,0;0,03389421381861129
11,0;24,0;0,02526257321998522
11,0;25,0;0,019223395088112098
11,0;26,0;0,014141481093695379
11,0;27,0;0,010641710652761961
11,0;28,0;0,007737440857045478
11,0;29,0;0,005764850179633831
11,0;30,0;0,004147766577838584
12,0;1,0;0,9999849683475244
12,0;2,0;0,997093039282611
12,0;3,0;0,9883881767309752
12,0;4,0;0,9720409555050529
12,0;5,0;0,9430417383287499
12,0;6,0;0,9052208836781301
12,0;7,0;0,8520487322394817
12,0;8,0;0,7941151052539013
12,0;9,0;0,7230343541614177
12,0;10,0;0,6538260547697078
12,0;11,0;0,5762944972440298
12,0;12,0;0,5065001562133692
12,0;13,0;0,43327817503796673
12,0;14,0;0,3711005745364807
12,0;15,0;0,3090395995860905
12,0;16,0;0,25867736025051047
12,0;17,0;0,21034339124240437
12,0;18,0;0,17252305169635063
12,0;19,0;0,1373603372398512
12,0;20,0;0,11065772539837355
12,0;21,0;0,08647506202183525
12,0;22,0;0,06856577878465599
12,0;23,0;0,052701241755588046
12,0;24,0;0,04120055099658618
12,0;25,0;0,031203452643917426
12,0;26,0;0,024088556865290236
12,0;27,0;0,018003970295431274
12,0;28,0;0,013742615876491275
12,0;29,0;0,010149926462547223
12,0;30,0;0,007669115995074407
13,0;1,0;0,9999948850626993
13,0;2,0;0,9982966724673934
13,0;3,0;0,9934923672497126
13,0;4,0;0,9819904222195501
13,0;5,0;0,9637007393791114
13,0;6,0;0,9335412208076308
13,0;7,0;0,896122288904484
13,0;8,0;0,8448643350080502
13,0;9,0;0,7898809045597613
13,0;10,0;0,7228362154058833
13,0;11,0;0,6576179141584766
13,0;12,0;0,5842981372278118
13,0;13,0;0,5178669995299695
13,0;14,0;0,4475635104116748
13,0;15,0;0,3872335935358417
13,0;16,0;0,32631429535526024
13,0;17,0;0,27624162657153783
13,0;18,0;0,22754608061555287
13,0;19,0;0,18890144781194906
13,0;20,0;0,15246212323280983
13,0;21,0;0,12437673250439324
13,0;22,0;0,09856935695240727
13,0;23,0;0,07916452440609233
13,0;24,0;0,06172077390583382
13,0;25,0;0,04888031610225673
13,0;26,0;0,037553642094815466
13,0;27,0;0,029368470582025238
13,0;28,0;0,022266084110746685
13,0;29,0;0,017216034489999824
13,0;30,0;0,01289694059135179
14,0;1,0;0,9999982595005019
14,0;2,0;0,9991478021176244
14,0;3,0;0,9960301805339228
14,0;4,0;0,9893182732488335
14,0;5,0;0,975813293319983
14,0;6,0;0,9561123907633404
14,0;7,0;0,9254099036867665
14,0;8,0;0,8885740702274031
14,0;9,0;0,8391561929112654
14,0;10,0;0,7867557072227132
14,0;11,0;0,7231940248416264
14,0;12,0;0,6614007488589041
14,0;13,0;0,5917362418088338
14,0;14,0;0,5282732390747784
14,0;15,0;0,46061871830899803
14,0;16,0;0,40204058233257506
14,0;17,0;0,3423001461113759
14,0;18,0;0,2926509918375289
14,0;19,0;0,24380980015043033
14,0;20,0;0,20456910647231963
14,0;21,0;0,16710644191040191
14,0;22,0;0,13785230362770923
14,0;23,0;0,11062211074045264
14,0;24,0;0,08986921093436474
14,0;25,0;0,0709669104260484
14,0;26,0;0,05686085285646113
14,0;27,0;0,04425231006467968
14,0;28,0;0,03501458237703938
14,0;29,0;0,02689261887890674
14,0;30,0;0,021037866256665073
15,0;1,0;0,9999994077466985
15,0;2,0;0,9995010783718019
15,0;3,0;0,9978097138901971
15,0;4,0;0,9932125936751617
15,0;5,0;0,984979329563124
15,0;6,0;0,9699124462341888
15,0;7,0;0,9492898562214778
15,0;8,0;0,9183845923722052
15,0;9,0;0,8822651285644647
15,0;10,0;0,8345705609176147
15,0;11,0;0,784470952651793
15,0;12,0;0,7239514894684497
15,0;13,0;0,6651473549852059
15,0;14,0;0,598694716835551
15,0;15,0;0,5378798493345591
15,0;16,0;0,47264251891624914
15,0;17,0;0,41572150533660984
15,0;18,0;0,35716948232576456
15,0;19,0;0,30803725358574774
15,0;20,0;0,2592153449677052
15,0;21,0;0,21956207128466204
15,0;22,0;0,18128762266608206
15,0;23,0;0,1510501599547945
15,0;24,0;0,12257848781945357
15,0;25,0;0,10061550812134988
15,0;26,0;0,08037306696069166
15,0;27,0;0,06507918928151088
15,0;28,0;0,05124437840113506
15,0;29,0;0,0409810198141417
15,0;30,0;0,031848433811398034
16,0;1,0;0,9999997984693627
16,0;2,0;0,9997504762659755
16,0;3,0;0,9986709611522515
16,0;4,0;0,996046696375652
16,0;5,0;0,9901507718774196
16,0;6,0;0,9806470770320923
16,0;7,0;0,9644141793635035
16,0;8,0;0,9431805397356439
16,0;9,0;0,9123121769441206
16,0;10,0;0,8769618369919625
16,0;11,0;0,8308786435749873
16,0;12,0;0,782839515166488
16,0;13,0;0,7250098468427125
16,0;14,0;0,66884356501963
16,0;15,0;0,6052440775702204
16,0;16,0;0,5468112801345001
16,0;17,0;0,4837908736460447
16,0;18,0;0,42843550108705913
16,0;19,0;0,3710638424037898
16,0;20,0;0,3225126780450766
16,0;21,0;0,27383653878649633
16,0;22,0;0,23391874979778324
16,0;23,0;0,19500962986222278
16,0;24,0;0,1639492810485136
16,0;25,0;0,1343981459899276
16,0;26,0;0,1113527461655733
16,0;27,0;0,08988409531152303
16,0;28,0;0,07348114384520271
16,0;29,0;0,058480557536674124
16,0;30,0;0,04722519215294147
17,0;1,0;0,9999999314236026
17,0;2,0;0,9998539643903492
17,0;3,0;0,999275385088075
17,0;4,0;0,9975136943502612
17,0;5,0;0,994008714235786
17,0;6,0;0,9869661853429754
17,0;7,0;0,9764389307068
17,0;8,0;0,9593290439308222
17,0;9,0;0,9377194015530574
17,0;10,0;0,9070416740031828
17,0;11,0;0,8724830046498431
17,0;12,0;0,82790177659262
17,0;13,0;0,7817232626194818
17,0;14,0;0,7262946663142841
17,0;15,0;0,6724803799476181
17,0;16,0;0,6114384777158685
17,0;17,0;0,5551644772531614
17,0;18,0;0,49418669547065286
17,0;19,0;0,44031059471547374
17,0;20,0;0,3841000710169768
17,0;21,0;0,3361730881270602
17,0;22,0;0,2877399369310625
17,0;23,0;0,2476776227245851
17,0;24,0;0,20828248728013002
17,0;25,0;0,17653808943773033
17,0;26,0;0,1460517843048933
17,0;27,0;0,12204118497026618
17,0;28,0;0,09945447406920145
17,0;29,0;0,08202033323316177
17,0;30,0;0,0659170978278265
18,0;1,0;0,9999999766649759
18,0;2,0;0,9999269745951801
18,0;3,0;0,9995621232261258
18,0;4,0;0,9985729451259828
18,0;5,0;0,9961208588082774
18,0;6,0;0,9917958673523325
18,0;7,0;0,9837706082739712
18,0;8,0;0,9724161307384627
18,0;9,0;0,9546573294962741
18,0;10,0;0,9328390116314178
18,0;11,0;0,9024555564814349
18,0;12,0;0,8686879842797451
18,0;13,0;0,8255073943520896
18,0;14,0;0,7810193960503586
18,0;15,0;0,7277523173735064
18,0;16,0;0,676052982116095
18,0;17,0;0,617321797848549
18,0;18,0;0,5630167609820703
18,0;19,0;0,503928973652881
18,0;20,0;0,45145135604331715
18,0;21,0;0,39637579025481373
18,0;22,0;0,3491007597550023
18,0;23,0;0,30098532884516105
18,0;24,0;0,2608760394818952
18,0;25,0;0,22111997900951907
18,0;26,0;0,1888117545204823
18,0;27,0;0,15751855259661798
18,0;28,0;0,13264983368947983
18,0;29,0;0,10904674861044812
18,0;30,0;0,09065720442159515
19,0;1,0;0,9999999920596099
19,0;2,0;0,9999572669830628
19,0;3,0;0,9997634784973841
19,0;4,0;0,9991096784942528
19,0;5,0;0,9976800716908172
19,0;6,0;0,994553318525215
19,0;7,0;0,9894898385032629
19,0;8,0;0,9806272792803279
19,0;9,0;0,9686105695943623
19,0;10,0;0,9503784635792386
19,0;11,0;0,9284755711259944
19,0;12,0;0,8984544443756735
19,0;13,0;0,8654654256645911
19,0;14,0;0,823592273246399
19,0;15,0;0,7806493811264128
19,0;16,0;0,7293422720097633
19,0;17,0;0,6795589292067128
19,0;18,0;0,6229296698156523
19,0;19,0;0,5704306418864826
19,0;20,0;0,5130983741690497
19,0;21,0;0,46194416424512574
19,0;22,0;0,40797323125283425
19,0;23,0;0,36136668082396545
19,0;24,0;0,31362628478622717
19,0;25,0;0,27354953705495433
19,0;26,0;0,2335380706686835
19,0;27,0;0,20077023520436638
19,0;28,0;0,16878406553108258
19,0;29,0;0,14315470082424045
19,0;30,0;0,11863019644611805
20,0;1,0;0,9999999972980618
20,0;2,0;0,9999786325195057
20,0;3,0;0,9998575420040654
20,0;4,0;0,9994951312370952
20,0;5,0;0,9985131971102204
20,0;6,0;0,9966331268886941
